ulCounter,timestamp,fcnt,deui,gw,ftime,ft2d,etime,snr,rssi,ant,lsnr,rssic,rssis,lat,lon
19,1498556068176,19,'3238353550348101','00000000080e0022',,,,-7.2,-122,,,,,,
19,1498556068287,19,'3238353550348101','0000000008060739',,,,-10.8,-122,,,,,,
20,1498556071971,20,'3238353550348101','0000000008060504',,,,-9,-117,,,,,,
20,1498556072077,20,'3238353550348101','7076fffffe01787f',,-1810,/gdVlpseax5oHy7m/8d8Ug==,-14,-122,0,-14,-108,-123,0,0
20,1498556072141,20,'3238353550348101','7076fffffe017776',,-1219,jpkwFbvlTZmQQRnbx2zI6w==,-12,-120,0,-12,-108,-120,0,0
20,1498556072380,20,'3238353550348101','00000000080e00e5',,,,-5.5,-119,,,,,,
20,1498556072558,20,'3238353550348101','00000000080e0022',,,,-9.2,-126,,,,,,
20,1498556072612,20,'3238353550348101','0000000008060739',,,,-3,-115,,,,,,
21,1498556075127,21,'3238353550348101','0000000008060504',,,,-2.8,-111,,,,,,
21,1498556075732,21,'3238353550348101','0000000008060739',,,,-10.5,-119,,,,,,
21,1498556075752,21,'3238353550348101','00000000080e0022',,,,-11.5,-123,,,,,,
22,1498556078585,22,'3238353550348101','0000000008060504',,,,-10.2,-119,,,,,,
22,1498556078700,22,'3238353550348101','7076fffffe01787f',,,,-12,-122,0,-12,-110,,0,0
22,1498556078776,22,'3238353550348101','7076fffffe017776',,490,/Z3MlyUaYqzyN8VaamBH8A==,-12,-120,0,-12,-108,-121,0,0
22,1498556078899,22,'3238353550348101','00000000080e00e5',,,,-4.5,-120,,,,,,
22,1498556079150,22,'3238353550348101','0000000008060613',,,,-12,-129,,,,,,
22,1498556079164,22,'3238353550348101','0000000008060739',,,,-2,-116,,,,,,
22,1498556079286,22,'3238353550348101','000000000806070e',,,,-12.8,-124,,,,,,
23,1498556081695,23,'3238353550348101','0000000008060504',,,,-6.8,-118,,,,,,
23,1498556081975,23,'3238353550348101','00000000080e00e5',,,,-9.2,-121,,,,,,
23,1498556082316,23,'3238353550348101','00000000080e0022',,,,-6.2,-122,,,,,,
23,1498556082376,23,'3238353550348101','0000000008060739',,,,-3,-117,,,,,,
23,1498556082516,23,'3238353550348101','000000000806070e',,,,-13.5,-124,,,,,,
24,1498556085369,24,'3238353550348101','0000000008060504',,,,-2.2,-112,,,,,,
24,1498556085374,24,'3238353550348101','000000000806042f',,,,-12.5,-120,,,,,,
24,1498556085907,24,'3238353550348101','00000000080e0022',,,,-6.8,-121,,,,,,
24,1498556086085,24,'3238353550348101','0000000008060739',,,,-5.8,-119,,,,,,
25,1498556089314,25,'3238353550348101','000000000806042f',,,,-13.2,-121,,,,,,
25,1498556089315,25,'3238353550348101','0000000008060504',,,,-3.5,-113,,,,,,
25,1498556089866,25,'3238353550348101','00000000080e0022',,,,-5.8,-120,,,,,,
26,1498556093656,26,'3238353550348101','0000000008060504',,,,-9.2,-117,,,,,,
26,1498556093753,26,'3238353550348101','7076fffffe01787f',,,,-11,-121,0,-11,-110,,0,0
26,1498556093802,26,'3238353550348101','7076fffffe017776',,914,Fwon+VNAIxvkyyRW55Y+uA==,-12,-120,0,-12,-108,-121,0,0
26,1498556093896,26,'3238353550348101','00000000080e00e5',,,,-4.2,-119,,,,,,
26,1498556094271,26,'3238353550348101','0000000008060739',,,,-2.5,-116,,,,,,
27,1498556098186,27,'3238353550348101','000000000806042f',,,,-8,-123,,,,,,
27,1498556098202,27,'3238353550348101','0000000008060504',,,,-11.2,-120,,,,,,
27,1498556098345,27,'3238353550348101','7076fffffe017776',,,,-7,-119,0,-7,-112,,0,0
27,1498556098560,27,'3238353550348101','00000000080e00e5',,,,-2.8,-116,,,,,,
27,1498556098829,27,'3238353550348101','00000000080e0022',,,,-9,-126,,,,,,
27,1498556098895,27,'3238353550348101','0000000008060739',,,,-9.5,-123,,,,,,
28,1498556101701,28,'3238353550348101','0000000008060504',,,,-4,-112,,,,,,
28,1498556102247,28,'3238353550348101','00000000080e0022',,,,-6.5,-121,,,,,,
29,1498556106246,29,'3238353550348101','0000000008060504',,,,-9.2,-122,,,,,,
29,1498556106515,29,'3238353550348101','00000000080e00e5',,,,-6.5,-122,,,,,,
29,1498556106894,29,'3238353550348101','00000000080e0022',,,,-9.8,-127,,,,,,
29,1498556106910,29,'3238353550348101','0000000008060739',,,,-4.8,-121,,,,,,
29,1498556106967,29,'3238353550348101','000000000806070e',,,,-12.5,-123,,,,,,
30,1498556111076,30,'3238353550348101','0000000008060504',,,,-9.5,-121,,,,,,
30,1498556111378,30,'3238353550348101','00000000080e00e5',,,,-8.2,-122,,,,,,
30,1498556111681,30,'3238353550348101','00000000080e0022',,,,-10,-127,,,,,,
30,1498556111706,30,'3238353550348101','0000000008060739',,,,1.2,-115,,,,,,
30,1498556111860,30,'3238353550348101','000000000806070e',,,,-12.5,-126,,,,,,
31,1498556116028,31,'3238353550348101','0000000008060504',,,,-3,-110,,,,,,
31,1498556116602,31,'3238353550348101','0000000008060739',,,,-8.5,-117,,,,,,
31,1498556116692,31,'3238353550348101','00000000080e0022',,,,-8.2,-120,,,,,,
32,1498556120115,32,'3238353550348101','000000000806042f',,,,-9.5,-124,,,,,,
32,1498556120116,32,'3238353550348101','0000000008060504',,,,-11.8,-121,,,,,,
32,1498556120246,32,'3238353550348101','7076fffffe017776',,,,-7,-118,0,-7,-111,,0,0
32,1498556120280,32,'3238353550348101','7076fffffe01787f',,,,-10,-120,0,-10,-110,,0,0
32,1498556120421,32,'3238353550348101','00000000080e00e5',,,,-2.8,-118,,,,,,
32,1498556120669,32,'3238353550348101','00000000080e0022',,,,-8.5,-126,,,,,,
32,1498556120758,32,'3238353550348101','0000000008060739',,,,-10,-124,,,,,,
33,1498556123608,33,'3238353550348101','0000000008060504',,,,-4.8,-113,,,,,,
33,1498556123625,33,'3238353550348101','7076fffffe01787f',,2663,EHKvpuGsunpsAAOI0VOB4w==,-15,-120,0,-15,-105,-120,0,0
33,1498556123701,33,'3238353550348101','7076fffffe017776',,,,-12,-118,0,-12,-106,,0,0
33,1498556124132,33,'3238353550348101','00000000080e0022',,,,-7.5,-122,,,,,,
34,1498556128614,34,'3238353550348101','00000000080e0022',,,,-9,-120,,,,,,
34,1498556128729,34,'3238353550348101','0000000008060739',,,,-9.2,-118,,,,,,
35,1498556132887,35,'3238353550348101','0000000008060504',,,,-7.2,-118,,,,,,
35,1498556133216,35,'3238353550348101','00000000080e00e5',,,,-5.8,-121,,,,,,
35,1498556133480,35,'3238353550348101','00000000080e0022',,,,-10,-125,,,,,,
35,1498556133645,35,'3238353550348101','0000000008060739',,,,-1,-117,,,,,,
36,1498556136408,36,'3238353550348101','000000000806042f',,,,-8.5,-122,,,,,,
36,1498556136410,36,'3238353550348101','0000000008060504',,,,-11,-119,,,,,,
36,1498556136548,36,'3238353550348101','7076fffffe01787f',,-1431,sIP71EqziIK1blWinN1fiA==,-11,-119,0,-11,-108,-120,0,0
36,1498556136591,36,'3238353550348101','7076fffffe017776',,652,9uryiW0j+TnsE4xSUfeMlg==,-12,-120,0,-12,-108,-120,0,0
36,1498556136735,36,'3238353550348101','00000000080e00e5',,,,-2.8,-117,,,,,,
36,1498556136946,36,'3238353550348101','00000000080e0022',,,,-6.2,-123,,,,,,
36,1498556137064,36,'3238353550348101','0000000008060739',,,,1.8,-115,,,,,,
37,1498556140906,37,'3238353550348101','0000000008060504',,,,-9.5,-119,,,,,,
37,1498556141138,37,'3238353550348101','00000000080e00e5',,,,-6.2,-122,,,,,,
37,1498556141692,37,'3238353550348101','0000000008060739',,,,3.5,-114,,,,,,
37,1498556141692,37,'3238353550348101','00000000080e0022',,,,-10.8,-128,,,,,,
38,1498556145286,38,'3238353550348101','000000000806042f',,,,-11.5,-123,,,,,,
38,1498556145288,38,'3238353550348101','0000000008060504',,,,-8,-119,,,,,,
38,1498556145561,38,'3238353550348101','00000000080e00e5',,,,-7.2,-121,,,,,,
38,1498556145890,38,'3238353550348101','00000000080e0022',,,,-8.8,-126,,,,,,
38,1498556145924,38,'3238353550348101','0000000008060739',,,,1.2,-117,,,,,,
38,1498556146016,38,'3238353550348101','000000000806070e',,,,-11.2,-124,,,,,,
39,1498556148745,39,'3238353550348101','000000000806042f',,,,-8.5,-124,,,,,,
39,1498556148755,39,'3238353550348101','0000000008060504',,,,-12,-120,,,,,,
39,1498556148910,39,'3238353550348101','7076fffffe01787f',,-1829,VIfyPrCOJv2SbSo+ahhgvA==,-14,-123,0,-14,-109,-123,0,0
39,1498556149036,39,'3238353550348101','00000000080e00e5',,,,-4,-119,,,,,,
39,1498556149372,39,'3238353550348101','00000000080e0022',,,,-6.8,-125,,,,,,
39,1498556149495,39,'3238353550348101','0000000008060739',,,,2.2,-111,,,,,,
40,1498556152584,40,'3238353550348101','0000000008060504',,,,-3,-112,,,,,,
40,1498556152584,40,'3238353550348101','000000000806042f',,,,-8.8,-123,,,,,,
40,1498556152616,40,'3238353550348101','000000000806070e',,,,-12.8,-127,,,,,,
40,1498556152621,40,'3238353550348101','0000000008060613',,,,-12.8,-130,,,,,,
40,1498556152631,40,'3238353550348101','7076fffffe01787f',,-565,lVIc2C1Q0QYc5pxwemmWzg==,-13,-121,0,-13,-108,-121,0,0
40,1498556152800,40,'3238353550348101','00000000080e00e5',,,,-9.5,-124,,,,,,
1,1498556152962,1,'333234315D358019','0000000008060504',,,,-5.8,-114,,,,,,
40,1498556153056,40,'3238353550348101','00000000080e00a3',,,,-12.5,-125,,,,,,
1,1498556153060,1,'333234315D358019','7076fffffe017776',,-1216,r2Uwa3wb+eLDU7I1JXhbXg==,-12,-120,0,-12,-108,-120,0,0
40,1498556153131,40,'3238353550348101','0000000008060739',,,,2.5,-114,,,,,,
1,1498556153222,1,'333234315D358019','00000000080e00e5',,,,-6.2,-122,,,,,,
1,1498556153748,1,'333234315D358019','00000000080e0022',,,,-11.5,-129,,,,,,
41,1498556155772,41,'3238353550348101','000000000806042f',,,,-7.8,-120,,,,,,
41,1498556155774,41,'3238353550348101','0000000008060504',,,,-6.5,-118,,,,,,
41,1498556155880,41,'3238353550348101','0000000008060613',,,,-8,-121,,,,,,
2,1498556155974,2,'333234315D358019','0000000008060504',,,,-5,-113,,,,,,
41,1498556155999,41,'3238353550348101','00000000080e00e5',,,,-6,-121,,,,,,
2,1498556156060,2,'333234315D358019','0000000008060613',,,,-9,-120,,,,,,
41,1498556156339,41,'3238353550348101','00000000080e00a3',,,,-11.2,-124,,,,,,
41,1498556156550,41,'3238353550348101','00000000080e0022',,,,-8,-123,,,,,,
41,1498556156565,41,'3238353550348101','0000000008060739',,,,0.2,-115,,,,,,
2,1498556156604,2,'333234315D358019','0000000008060739',,,,-1.2,-117,,,,,,
2,1498556156610,2,'333234315D358019','00000000080e0022',,,,-12,-125,,,,,,
3,1498556159081,3,'333234315D358019','0000000008060504',,,,-1.8,-112,,,,,,
3,1498556159180,3,'333234315D358019','0000000008060613',,,,-7.8,-125,,,,,,
3,1498556159183,3,'333234315D358019','0000000008060739',,,,3.5,-110,,,,,,
3,1498556159357,3,'333234315D358019','00000000080e00e5',,,,-6.5,-124,,,,,,
42,1498556160162,42,'3238353550348101','0000000008060504',,,,-4.5,-111,,,,,,
4,1498556162279,4,'333234315D358019','0000000008060504',,,,-1.5,-112,,,,,,
4,1498556162382,4,'333234315D358019','0000000008060613',,,,-7.2,-122,,,,,,
4,1498556162539,4,'333234315D358019','00000000080e00e5',,,,-6.5,-120,,,,,,
4,1498556162784,4,'333234315D358019','0000000008060739',,,,7.8,-109,,,,,,
43,1498556164441,43,'3238353550348101','000000000806042f',,,,-8,-122,,,,,,
43,1498556164443,43,'3238353550348101','0000000008060504',,,,-9.8,-119,,,,,,
43,1498556164546,43,'3238353550348101','7076fffffe01787f',,,,-10,-120,0,-10,-110,,0,0
43,1498556164579,43,'3238353550348101','7076fffffe017776',,867,P+gfwZM0rVtwMmPLUmqGrQ==,-10,-118,0,-10,-108,-119,0,0
43,1498556164608,43,'3238353550348101','00000000080e0022',,,,-7.2,-126,,,,,,
43,1498556164683,43,'3238353550348101','0000000008060739',,,,3.5,-110,,,,,,
43,1498556164699,43,'3238353550348101','00000000080e00e5',,,,-5.5,-120,,,,,,
5,1498556165427,5,'333234315D358019','0000000008060504',,,,-5.5,-113,,,,,,
6,1498556168746,6,'333234315D358019','0000000008060504',,,,0.8,-109,,,,,,
6,1498556168746,6,'333234315D358019','0000000008060739',,,,-5.2,-120,,,,,,
44,1498556169027,44,'3238353550348101','000000000806042f',,,,-7,-121,,,,,,
44,1498556169031,44,'3238353550348101','0000000008060504',,,,-13,-122,,,,,,
44,1498556169120,44,'3238353550348101','0000000008060613',,,,-8.2,-125,,,,,,
44,1498556169121,44,'3238353550348101','0000000008060739',,,,-1,-112,,,,,,
44,1498556169178,44,'3238353550348101','7076fffffe01787f',,-1577,o/rVtKO/qnmGghtIGuBSgw==,-13,-121,0,-13,-108,-122,0,0
44,1498556169211,44,'3238353550348101','7076fffffe017776',,-323,mAyRBWgWp3LdflvpNItspQ==,-12,-120,0,-12,-108,-121,0,0
44,1498556169379,44,'3238353550348101','00000000080e00e5',,,,-9.8,-125,,,,,,
44,1498556170331,44,'3238353550348101','00000000080e0022',,,,-3.8,-122,,,,,,
7,1498556171767,7,'333234315D358019','0000000008060504',,,,-5,-118,,,,,,
7,1498556171864,7,'333234315D358019','0000000008060739',,,,-0.8,-114,,,,,,
7,1498556171881,7,'333234315D358019','0000000008060613',,,,-10.2,-127,,,,,,
7,1498556171924,7,'333234315D358019','7076fffffe01784d',,-516,iCnRfz/O9+rYdnkkfjWe6A==,-13,-115,0,-13,-102,-116,0,0
45,1498556172038,45,'3238353550348101','0000000008060504',,,,-5.8,-119,,,,,,
7,1498556172079,7,'333234315D358019','00000000080e00e5',,,,-4.2,-118,,,,,,
45,1498556172143,45,'3238353550348101','0000000008060739',,,,1.2,-116,,,,,,
45,1498556172240,45,'3238353550348101','00000000080e00e5',,,,-6.5,-120,,,,,,
45,1498556172649,45,'3238353550348101','00000000080e0022',,,,-6.5,-122,,,,,,
45,1498556172681,45,'3238353550348101','0000000008060443',,,,-14.2,-131,,,,,,
45,1498556172916,45,'3238353550348101','000000000806070e',,,,-10.2,-122,,,,,,
8,1498556174881,8,'333234315D358019','0000000008060504',,,,null,-112,,,,,,
46,1498556175054,46,'3238353550348101','000000000806042f',,,,-11.2,-125,,,,,,
46,1498556175145,46,'3238353550348101','0000000008060739',,,,1.8,-116,,,,,,
8,1498556175359,8,'333234315D358019','00000000080e00e5',,,,-4.8,-120,,,,,,
46,1498556175419,46,'3238353550348101','00000000080e00e5',,,,-6.8,-121,,,,,,
8,1498556175536,8,'333234315D358019','0000000008060613',,,,-7.2,-120,,,,,,
46,1498556175667,46,'3238353550348101','00000000080e0022',,,,-10.8,-126,,,,,,
46,1498556175749,46,'3238353550348101','000000000806070e',,,,-12.8,-125,,,,,,
9,1498556178050,9,'333234315D358019','0000000008060504',,,,-4.2,-113,,,,,,
9,1498556178171,9,'333234315D358019','7076fffffe017776',,,,-12,-123,0,-12,-111,,0,0
9,1498556178322,9,'333234315D358019','00000000080e00e5',,,,-4,-118,,,,,,
9,1498556178403,9,'333234315D358019','0000000008060739',,,,-5.2,-119,,,,,,
9,1498556178743,9,'333234315D358019','00000000080e0022',,,,-9.8,-129,,,,,,
47,1498556179297,47,'3238353550348101','000000000806042f',,,,-6.8,-122,,,,,,
47,1498556179430,47,'3238353550348101','7076fffffe01787f',,-2352,5MzwWzu17E4vB1fSPBuB9w==,-15,-123,0,-15,-108,-124,0,0
47,1498556179462,47,'3238353550348101','0000000008060739',,,,-2.8,-117,,,,,,
47,1498556179473,47,'3238353550348101','7076fffffe017776',,144,i2SrCY+DGO4l9B1V+DA45A==,-12,-120,0,-12,-108,-121,0,0
47,1498556179580,47,'3238353550348101','00000000080e00e5',,,,-5,-118,,,,,,
47,1498556179896,47,'3238353550348101','0000000008060613',,,,-13.8,-130,,,,,,
10,1498556181250,10,'333234315D358019','0000000008060504',,,,-10.5,-119,,,,,,
10,1498556181345,10,'333234315D358019','0000000008060739',,,,-2.8,-112,,,,,,
10,1498556181416,10,'333234315D358019','7076fffffe01784d',,-67,u/eMNibfk3Ka2zAVjJVWXA==,-13,-114,0,-13,-101,-115,0,0
10,1498556181928,10,'333234315D358019','0000000008060613',,,,-8.8,-122,,,,,,
10,1498556181971,10,'333234315D358019','00000000080e0022',,,,-9.8,-124,,,,,,
48,1498556182373,48,'3238353550348101','0000000008060504',,,,-3,-111,,,,,,
48,1498556182375,48,'3238353550348101','000000000806042f',,,,-10,-118,,,,,,
48,1498556182463,48,'3238353550348101','0000000008060739',,,,-9.8,-122,,,,,,
48,1498556183031,48,'3238353550348101','00000000080e0022',,,,-6.5,-120,,,,,,
11,1498556184315,11,'333234315D358019','0000000008060504',,,,-2.2,-115,,,,,,
11,1498556184405,11,'333234315D358019','0000000008060739',,,,-4.2,-119,,,,,,
11,1498556184456,11,'333234315D358019','7076fffffe01784d',,920,bJbeEUZfaSAUGzNJrJFTEQ==,-12,-114,0,-12,-102,-115,0,0
11,1498556184624,11,'333234315D358019','00000000080e00e5',,,,-9.2,-123,,,,,,
11,1498556184858,11,'333234315D358019','0000000008060613',,,,-10.5,-127,,,,,,
49,1498556185482,49,'3238353550348101','000000000806042f',,,,-11,-124,,,,,,
49,1498556185485,49,'3238353550348101','0000000008060504',,,,-8,-121,,,,,,
49,1498556185584,49,'3238353550348101','0000000008060739',,,,0.8,-113,,,,,,
49,1498556185737,49,'3238353550348101','00000000080e00e5',,,,-6.2,-122,,,,,,
49,1498556186026,49,'3238353550348101','0000000008060613',,,,-10.2,-125,,,,,,
49,1498556186057,49,'3238353550348101','00000000080e00a3',,,,-12.8,-127,,,,,,
49,1498556186165,49,'3238353550348101','00000000080e0022',,,,-5.2,-123,,,,,,
49,1498556186276,49,'3238353550348101','000000000806070e',,,,-11.2,-123,,,,,,
49,1498556186295,49,'3238353550348101','0000000008060443',,,,-11.8,-127,,,,,,
12,1498556187465,12,'333234315D358019','0000000008060504',,,,-6.8,-113,,,,,,
12,1498556187554,12,'333234315D358019','7076fffffe01784d',,-503,26WQE8N6rPX/x+w0l4X7Vg==,-12,-114,0,-12,-102,-114,0,0
12,1498556187563,12,'333234315D358019','0000000008060739',,,,-9.5,-120,,,,,,
12,1498556187735,12,'333234315D358019','00000000080e00e5',,,,-12,-119,,,,,,
12,1498556188190,12,'333234315D358019','0000000008060613',,,,-10.2,-123,,,,,,
12,1498556188196,12,'333234315D358019','00000000080e0022',,,,-13,-128,,,,,,
50,1498556189736,50,'3238353550348101','0000000008060504',,,,-3.5,-112,,,,,,
50,1498556189846,50,'3238353550348101','7076fffffe01787f',,,,-13,-121,0,-13,-108,,0,0
50,1498556190338,50,'3238353550348101','00000000080e0022',,,,-7,-121,,,,,,
13,1498556190581,13,'333234315D358019','0000000008060504',,,,-8.5,-117,,,,,,
13,1498556190672,13,'333234315D358019','7076fffffe01784d',,-704,HOoZmBTwGYk5NHCXw1kJCA==,-13,-115,0,-13,-102,-116,0,0
13,1498556190695,13,'333234315D358019','0000000008060739',,,,-4,-118,,,,,,
13,1498556190859,13,'333234315D358019','00000000080e00e5',,,,-6.5,-120,,,,,,
13,1498556191127,13,'333234315D358019','00000000080e0022',,,,-7.8,-125,,,,,,
14,1498556193844,14,'333234315D358019','0000000008060739',,,,-1.8,-115,,,,,,
14,1498556194286,14,'333234315D358019','0000000008060613',,,,-9.2,-113,,,,,,
14,1498556194293,14,'333234315D358019','00000000080e0022',,,,-10,-127,,,,,,
51,1498556194320,51,'3238353550348101','000000000806042f',,,,-11.5,-120,,,,,,
51,1498556194325,51,'3238353550348101','0000000008060504',,,,-5,-114,,,,,,
51,1498556194424,51,'3238353550348101','0000000008060739',,,,-1.5,-116,,,,,,
51,1498556194894,51,'3238353550348101','00000000080e0022',,,,-7.8,-123,,,,,,
15,1498556196748,15,'333234315D358019','0000000008060504',,,,-4.2,-116,,,,,,
15,1498556196752,15,'333234315D358019','000000000806042f',,,,-13.2,-127,,,,,,
15,1498556196864,15,'333234315D358019','0000000008060739',,,,-2.5,-117,,,,,,
15,1498556196896,15,'333234315D358019','7076fffffe01784d',,-708,wuBw/y2H9kb1BqiAfPAp6g==,-11,-113,0,-11,-102,-114,0,0
15,1498556196997,15,'333234315D358019','00000000080e00e5',,,,-1.2,-118,,,,,,
15,1498556197354,15,'333234315D358019','0000000008060613',,,,-11,-125,,,,,,
52,1498556198478,52,'3238353550348101','0000000008060504',,,,-8.2,-119,,,,,,
52,1498556198628,52,'3238353550348101','7076fffffe01784d',,508,vUarr+c3aILgGFysSdkwTg==,-14,-118,0,-14,-104,-119,0,0
52,1498556198822,52,'3238353550348101','00000000080e00e5',,,,-8,-120,,,,,,
52,1498556198823,52,'3238353550348101','0000000008060739',,,,-7.5,-119,,,,,,
52,1498556199029,52,'3238353550348101','0000000008060613',,,,-12.5,-126,,,,,,
52,1498556199096,52,'3238353550348101','00000000080e0022',,,,-11.8,-122,,,,,,
52,1498556199206,52,'3238353550348101','000000000806070e',,,,-11.5,-123,,,,,,
16,1498556199796,16,'333234315D358019','0000000008060504',,,,-8.2,-116,,,,,,
16,1498556199908,16,'333234315D358019','7076fffffe01784d',,-27,sKbSKwoQaiMz2Z4cTi46Bw==,-12,-114,0,-12,-102,-114,0,0
16,1498556199965,16,'333234315D358019','0000000008060739',,,,-8.5,-116,,,,,,
16,1498556200363,16,'333234315D358019','0000000008060613',,,,-9.8,-121,,,,,,
53,1498556202807,53,'3238353550348101','0000000008060504',,,,-6.5,-115,,,,,,
53,1498556202904,53,'3238353550348101','0000000008060739',,,,-6.2,-120,,,,,,
17,1498556202904,17,'333234315D358019','0000000008060504',,,,-7.2,-115,,,,,,
17,1498556202947,17,'333234315D358019','7076fffffe01784d',,-1226,bO1Ie1D3mtIUdHfxK8Jxog==,-14,-110,0,-14,-96,-111,0,0
18,1498556205875,18,'333234315D358019','0000000008060504',,,,-4.2,-113,,,,,,
18,1498556205964,18,'333234315D358019','0000000008060739',,,,-9,-120,,,,,,
18,1498556206003,18,'333234315D358019','7076fffffe01784d',,133,6rolqwjnNnI50uDZnI7Krw==,-6,-108,0,-6,-102,-109,0,0
54,1498556206016,54,'3238353550348101','0000000008060504',,,,-11.5,-122,,,,,,
54,1498556206102,54,'3238353550348101','0000000008060739',,,,4.2,-110,,,,,,
54,1498556206118,54,'3238353550348101','7076fffffe01787f',,341,wtjpcfF+OEa2kCZveGfTSA==,-15,-123,0,-15,-108,-123,0,0
54,1498556206299,54,'3238353550348101','00000000080e00e5',,,,-8,-121,,,,,,
54,1498556206589,54,'3238353550348101','00000000080e00a3',,,,-11.5,-125,,,,,,
54,1498556206671,54,'3238353550348101','00000000080e0022',,,,-7.2,-124,,,,,,
19,1498556208969,19,'333234315D358019','0000000008060504',,,,-1.2,-114,,,,,,
19,1498556209023,19,'333234315D358019','0000000008060739',,,,-7.5,-119,,,,,,
19,1498556209176,19,'333234315D358019','00000000080e00e5',,,,-5.2,-115,,,,,,
19,1498556209487,19,'333234315D358019','0000000008060613',,,,-8.2,-122,,,,,,
19,1498556209594,19,'333234315D358019','00000000080e0022',,,,-8.5,-124,,,,,,
55,1498556210236,55,'3238353550348101','0000000008060504',,,,-4.2,-113,,,,,,
55,1498556210322,55,'3238353550348101','0000000008060739',,,,-6.8,-116,,,,,,
20,1498556212009,20,'333234315D358019','0000000008060504',,,,-3.8,-113,,,,,,
20,1498556212014,20,'333234315D358019','000000000806042f',,,,-12.5,-126,,,,,,
20,1498556212103,20,'333234315D358019','0000000008060739',,,,6,-111,,,,,,
20,1498556212149,20,'333234315D358019','7076fffffe01784d',,-772,QigZoW7FgBuSBGiqC2C3+w==,-13,-117,0,-13,-104,-117,0,0
20,1498556212279,20,'333234315D358019','00000000080e00e5',,,,-8.8,-118,,,,,,
20,1498556212566,20,'333234315D358019','0000000008060613',,,,-11.2,-126,,,,,,
20,1498556212632,20,'333234315D358019','00000000080e0022',,,,-10.8,-126,,,,,,
56,1498556215001,56,'3238353550348101','000000000806042f',,,,-8.8,-124,,,,,,
56,1498556215105,56,'3238353550348101','0000000008060739',,,,-7.5,-118,,,,,,
56,1498556215152,56,'3238353550348101','7076fffffe01787f',,-1471,boqGQvOA+2kr1hWqk6sDfg==,-15,-124,0,-15,-109,-125,0,0
21,1498556215163,21,'333234315D358019','0000000008060504',,,,-9,-117,,,,,,
56,1498556215338,56,'3238353550348101','00000000080e00e5',,,,-10.2,-118,,,,,,
22,1498556218342,22,'333234315D358019','0000000008060504',,,,-5,-113,,,,,,
22,1498556218425,22,'333234315D358019','7076fffffe017776',,,,-11,-120,0,-11,-109,,0,0
22,1498556218448,22,'333234315D358019','7076fffffe01784d',,-323,/Nw/4LfxFfTWIbzX4xe09g==,-10,-112,0,-10,-102,-112,0,0
22,1498556218503,22,'333234315D358019','0000000008060739',,,,-8.8,-123,,,,,,
22,1498556218882,22,'333234315D358019','0000000008060613',,,,-9.8,-121,,,,,,
57,1498556219768,57,'3238353550348101','000000000806042f',,,,-13.2,-125,,,,,,
57,1498556219862,57,'3238353550348101','0000000008060739',,,,3.8,-112,,,,,,
57,1498556220081,57,'3238353550348101','00000000080e00e5',,,,-10.5,-125,,,,,,
57,1498556220398,57,'3238353550348101','00000000080e0022',,,,-4.8,-121,,,,,,
57,1498556220450,57,'3238353550348101','0000000008060613',,,,-11.5,-125,,,,,,
57,1498556220470,57,'3238353550348101','000000000806070e',,,,-11.8,-123,,,,,,
23,1498556221347,23,'333234315D358019','0000000008060504',,,,2,-113,,,,,,
23,1498556221442,23,'333234315D358019','0000000008060739',,,,-8.2,-120,,,,,,
23,1498556221488,23,'333234315D358019','7076fffffe01784d',,-678,rF9u0SNmFNZgg6bGMG+Iww==,-14,-116,0,-14,-102,-117,0,0
23,1498556221618,23,'333234315D358019','00000000080e00e5',,,,-11,-122,,,,,,
23,1498556221892,23,'333234315D358019','0000000008060613',,,,-9,-123,,,,,,
23,1498556221918,23,'333234315D358019','00000000080e0022',,,,-7.2,-124,,,,,,
58,1498556224232,58,'3238353550348101','0000000008060504',,,,-2.8,-112,,,,,,
58,1498556224344,58,'3238353550348101','0000000008060739',,,,-4.2,-110,,,,,,
58,1498556224376,58,'3238353550348101','7076fffffe01784d',,491,7giP7fsMarM7UluX4NUx8w==,-13,-114,0,-13,-101,-115,0,0
24,1498556224428,24,'333234315D358019','0000000008060504',,,,-1.5,-114,,,,,,
24,1498556224524,24,'333234315D358019','0000000008060739',,,,2.8,-110,,,,,,
24,1498556224739,24,'333234315D358019','00000000080e00e5',,,,-9.5,-117,,,,,,
58,1498556225022,58,'3238353550348101','00000000080e0022',,,,-6.5,-118,,,,,,
24,1498556225063,24,'333234315D358019','00000000080e0022',,,,-5,-123,,,,,,
25,1498556227558,25,'333234315D358019','0000000008060504',,,,-7.8,-115,,,,,,
59,1498556227707,59,'3238353550348101','000000000806042f',,,,-10,-124,,,,,,
59,1498556227707,59,'3238353550348101','0000000008060504',,,,-10.5,-118,,,,,,
59,1498556227803,59,'3238353550348101','0000000008060739',,,,-0.5,-116,,,,,,
59,1498556227805,59,'3238353550348101','00000000080e0022',,,,-5.5,-125,,,,,,
59,1498556227849,59,'3238353550348101','7076fffffe01784d',,-162,xgzavTD5xiWY/QTib2peRg==,-14,-115,0,-14,-101,-116,0,0
59,1498556227936,59,'3238353550348101','00000000080e00e5',,,,-8.5,-116,,,,,,
59,1498556228031,59,'3238353550348101','7076fffffe017776',,,,-8,-119,0,-8,-111,,0,0
26,1498556230612,26,'333234315D358019','0000000008060504',,,,-5.8,-112,,,,,,
